Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q26,Q22,Q23,Q24,Q25
Always,No,Neutral,Not sure,Very confident,Open and read carefully,Often,"Yes, always",Occasionally,Never,Rarely,Not confident,Never,Not very helpful,Always,Videos,Not effective,"Yes, always",Neutral,No,"Yes, frequently",Rarely,Not effective,Useful,"Yes, significantly"
Often,No,Not confident at all,Not sure,Very confident,Open and read carefully,Always,Most of the time,Rarely,Monthly,"Yes, automatically",Not confident,Never,Not helpful at all,Rarely,Simulations,Neutral,"Yes, always",Very relevant,Somewhat,Rarely,No,Effective,Useful,"Yes, somewhat"
Rarely,No,Not confident,"No, never",Neutral,Delete it immediately,Rarely,Rarely,"Yes, frequently",Never,Sometimes,Confident,Never,Helpful,Never,Videos,Not effective,No,Neutral,No,"Yes, frequently",No,Neutral,Neutral,Neutral
Often,Yes,Not confident,"Yes, recently",Neutral,Consult a colleague,Rarely,Rarely,"No, never",Every week,Rarely,Not confident,Rarely,Very helpful,Most of the time,Simulations,Not effective,Sometimes,Neutral,Neutral,Never,"Yes, always",Effective,Neutral,"Yes, somewhat"
Sometimes,Yes,Confident,"No, never",Very confident,Open and read carefully,Always,Most of the time,"No, never",Rarely,Rarely,Confident,Never,Not helpful at all,Most of the time,Videos,Not effective,Rarely,Somewhat relevant,Somewhat,"Yes, frequently",No,"Yes, highly effective",Useful,Neutral
Never,Yes,Neutral,"No, never",Not confident,Consult a colleague,Never,"Yes, always",Occasionally,Rarely,Rarely,Very confident,Never,Very helpful,Always,Quizzes,Effective,Sometimes,Neutral,No,Rarely,No,Effective,Very useful,"Yes, significantly"
Often,Not sure what a password manager is,Neutral,"Yes, recently",Not confident,Delete it immediately,Always,"Yes, always","No, never",Never,Rarely,Neutral,Never,Helpful,Sometimes,Simulations,Not effective,Sometimes,Somewhat relevant,Neutral,Sometimes,"Yes, always",Neutral,Very useful,"Yes, somewhat"
Sometimes,No,Not confident,"Yes, recently",Somewhat confident,Report it to IT,Rarely,Never,"Yes, frequently",Never,Rarely,Confident,Never,Neutral,Most of the time,Live training sessions,Very effective,No,Neutral,Somewhat,"Yes, frequently",Sometimes,Effective,Not useful,No
Often,Yes,Neutral,Not sure,Very confident,Delete it immediately,Always,Never,"Yes, frequently",Every week,"Yes, manually",Neutral,Never,Very helpful,Always,Live training sessions,Neutral,"Yes, always",Neutral,Neutral,Rarely,"Yes, always",Not effective,Useful,Neutral
Sometimes,Yes,Not confident at all,Not sure,Neutral,Consult a colleague,Rarely,Most of the time,"No, never",Occasionally,"Yes, automatically",Very confident,Rarely,Not helpful at all,Always,Videos,Neutral,Sometimes,Very relevant,Neutral,Rarely,Sometimes,Neutral,Neutral,No
Never,Yes,Very confident,"Yes, but a long time ago",Not confident,Open and read carefully,Rarely,Most of the time,Occasionally,Monthly,Sometimes,Confident,"Yes, frequently",Neutral,Most of the time,Videos,Not effective,Sometimes,Not relevant,Somewhat,"Yes, frequently",Sometimes,Effective,Very useful,"Yes, somewhat"
Sometimes,No,Neutral,"Yes, recently",Neutral,Open and read carefully,Rarely,Sometimes,Occasionally,Every week,Sometimes,Very confident,Rarely,Not very helpful,Sometimes,Live training sessions,Very effective,Rarely,Not relevant,Neutral,Never,Rarely,Effective,Useful,"Yes, significantly"
Often,Not sure what a password manager is,Neutral,"No, never",Not confident,Consult a colleague,Rarely,Most of the time,Rarely,Occasionally,Rarely,Neutral,Not sure,Very helpful,Sometimes,Simulations,Very effective,No,Somewhat relevant,No,"Yes, frequently",No,Effective,Useful,No
Often,Yes,Not confident,"Yes, recently",Not confident,Report it to IT,Rarely,"Yes, always","No, never",Never,Never,Confident,Not sure,Not very helpful,Rarely,Live training sessions,Very effective,"Yes, always",Very relevant,Neutral,"Yes, frequently",No,Not effective,Neutral,"Yes, significantly"
Sometimes,Yes,Not confident,"Yes, recently",Somewhat confident,Consult a colleague,Sometimes,Rarely,Rarely,Occasionally,Sometimes,Confident,"Yes, frequently",Not helpful at all,Rarely,Videos,Not effective,Rarely,Neutral,No,Rarely,Rarely,Neutral,Neutral,Neutral
Often,No,Not confident at all,"No, never",Not confident,Report it to IT,Always,Sometimes,Occasionally,Rarely,"Yes, automatically",Neutral,"Yes, frequently",Not very helpful,Sometimes,Videos,Very effective,Rarely,Neutral,Somewhat,Rarely,"Yes, always",Neutral,Useful,"Yes, significantly"
Sometimes,Yes,Confident,"No, never",Not confident,Consult a colleague,Never,Never,Occasionally,Rarely,"Yes, manually",Confident,Never,Neutral,Always,Live training sessions,Neutral,No,Neutral,Neutral,"Yes, frequently",Sometimes,Effective,Not useful,Neutral
Rarely,Not sure what a password manager is,Confident,"Yes, recently",Very confident,Delete it immediately,Never,Rarely,"Yes, frequently",Occasionally,Sometimes,Confident,Not sure,Helpful,Never,Live training sessions,Effective,Rarely,Not relevant,Somewhat,"Yes, frequently",Sometimes,"Yes, highly effective",Not useful,"Yes, significantly"
Sometimes,Yes,Not confident,"Yes, but a long time ago",Not confident,Consult a colleague,Never,Rarely,Rarely,Rarely,Sometimes,Very confident,Not sure,Very helpful,Always,Videos,Neutral,"Yes, always",Neutral,No,"Yes, frequently",Rarely,Neutral,Neutral,Neutral
Often,Yes,Very confident,"No, never",Very confident,Consult a colleague,Sometimes,Rarely,"No, never",Monthly,"Yes, manually",Not confident,Never,Not very helpful,Always,Live training sessions,Very effective,"Yes, always",Somewhat relevant,Neutral,Sometimes,Sometimes,"Yes, highly effective",Very useful,"Yes, somewhat"
Sometimes,No,Neutral,"Yes, but a long time ago",Not confident,Open and read carefully,Rarely,Rarely,Rarely,Monthly,Never,Confident,Not sure,Neutral,Sometimes,Live training sessions,Not effective,"Yes, always",Not relevant,Neutral,Rarely,No,Neutral,Very useful,"Yes, significantly"
Sometimes,Yes,Confident,Not sure,Very confident,Consult a colleague,Rarely,Most of the time,"Yes, frequently",Rarely,Never,Very confident,Not sure,Neutral,Rarely,Live training sessions,Not effective,Sometimes,Neutral,No,"Yes, frequently",Rarely,Effective,Not useful,"Yes, somewhat"
Rarely,Yes,Not confident,Not sure,Not confident,Report it to IT,Always,Rarely,Occasionally,Occasionally,"Yes, manually",Confident,Not sure,Not very helpful,Sometimes,Quizzes,Not effective,No,Not relevant,Neutral,Rarely,Rarely,Effective,Very useful,No
Often,Yes,Confident,"No, never",Neutral,Consult a colleague,Often,Most of the time,Rarely,Every week,Never,Neutral,Rarely,Not very helpful,Sometimes,Quizzes,Effective,Rarely,Somewhat relevant,Neutral,Rarely,No,Effective,Neutral,"Yes, significantly"
Rarely,No,Confident,"Yes, recently",Neutral,Open and read carefully,Never,Most of the time,"No, never",Occasionally,Sometimes,Very confident,Rarely,Neutral,Most of the time,Videos,Very effective,No,Very relevant,Neutral,"Yes, frequently","Yes, always",Neutral,Neutral,Neutral
Never,No,Confident,"Yes, but a long time ago",Neutral,Open and read carefully,Always,Rarely,Occasionally,Rarely,Never,Very confident,Rarely,Not helpful at all,Never,Simulations,Neutral,No,Very relevant,Neutral,Rarely,Rarely,Effective,Not useful,"Yes, somewhat"
Always,Yes,Very confident,"Yes, recently",Very confident,Consult a colleague,Often,Never,Occasionally,Never,Never,Very confident,Never,Neutral,Always,Videos,Very effective,Sometimes,Not relevant,Neutral,Sometimes,Rarely,Neutral,Not useful,No
Often,Not sure what a password manager is,Neutral,Not sure,Neutral,Report it to IT,Often,Most of the time,Occasionally,Rarely,"Yes, automatically",Neutral,"Yes, frequently",Neutral,Sometimes,Simulations,Very effective,Rarely,Not relevant,Somewhat,"Yes, frequently",No,Effective,Not useful,Neutral
Never,Yes,Neutral,"No, never",Very confident,Delete it immediately,Sometimes,Most of the time,Rarely,Rarely,"Yes, automatically",Very confident,Not sure,Not very helpful,Rarely,Simulations,Neutral,No,Not relevant,No,Sometimes,"Yes, always",Neutral,Not useful,No
Rarely,Yes,Very confident,"No, never",Very confident,Consult a colleague,Rarely,Sometimes,Rarely,Rarely,"Yes, manually",Very confident,Never,Not very helpful,Most of the time,Quizzes,Not effective,No,Neutral,"Yes, significantly","Yes, frequently",Rarely,Not effective,Very useful,"Yes, significantly"
Sometimes,Not sure what a password manager is,Confident,"Yes, recently",Very confident,Open and read carefully,Rarely,Rarely,"Yes, frequently",Never,Sometimes,Very confident,"Yes, frequently",Not very helpful,Sometimes,Simulations,Very effective,Rarely,Not relevant,Neutral,Rarely,Rarely,Effective,Not useful,"Yes, significantly"
Always,Yes,Not confident,"No, never",Not confident,Report it to IT,Never,Never,Occasionally,Occasionally,"Yes, manually",Not confident,Never,Very helpful,Never,Live training sessions,Not effective,"Yes, always",Neutral,Somewhat,Rarely,Rarely,Effective,Very useful,Neutral
Sometimes,No,Very confident,Not sure,Very confident,Open and read carefully,Sometimes,Most of the time,Occasionally,Every week,Sometimes,Very confident,"Yes, frequently",Very helpful,Sometimes,Videos,Not effective,Sometimes,Very relevant,"Yes, significantly","Yes, frequently","Yes, always",Neutral,Useful,"Yes, significantly"
Always,Not sure what a password manager is,Not confident,Not sure,Neutral,Report it to IT,Sometimes,Rarely,"Yes, frequently",Never,Sometimes,Confident,Occasionally,Not helpful at all,Sometimes,Quizzes,Very effective,"Yes, always",Neutral,Neutral,Rarely,No,Effective,Very useful,Neutral
Often,Yes,Confident,Not sure,Not confident,Delete it immediately,Always,Most of the time,Rarely,Occasionally,"Yes, automatically",Neutral,Never,Not very helpful,Most of the time,Quizzes,Effective,Sometimes,Neutral,Somewhat,Sometimes,No,Neutral,Neutral,"Yes, significantly"
Often,Yes,Confident,"Yes, recently",Very confident,Consult a colleague,Rarely,"Yes, always",Occasionally,Every week,"Yes, manually",Confident,Not sure,Neutral,Sometimes,Quizzes,Not effective,Sometimes,Not relevant,No,Never,"Yes, always","Yes, highly effective",Useful,"Yes, somewhat"
Often,No,Not confident,"Yes, recently",Neutral,Report it to IT,Often,Rarely,Occasionally,Monthly,Never,Very confident,Never,Not helpful at all,Most of the time,Quizzes,Not effective,Sometimes,Very relevant,Neutral,Rarely,"Yes, always","Yes, highly effective",Not useful,No
Never,Yes,Confident,Not sure,Not confident,Open and read carefully,Often,Most of the time,Rarely,Occasionally,"Yes, manually",Confident,Occasionally,Neutral,Sometimes,Videos,Not effective,"Yes, always",Very relevant,Neutral,Never,No,Not effective,Not useful,"Yes, significantly"
Often,Yes,Not confident at all,Not sure,Very confident,Consult a colleague,Never,Most of the time,Rarely,Never,"Yes, automatically",Very confident,"Yes, frequently",Helpful,Always,Live training sessions,Effective,"Yes, always",Not relevant,Neutral,Sometimes,"Yes, always",Not effective,Very useful,"Yes, significantly"
Always,Yes,Neutral,"Yes, recently",Not confident,Consult a colleague,Often,Rarely,"No, never",Monthly,"Yes, automatically",Neutral,Never,Neutral,Always,Simulations,Very effective,Sometimes,Neutral,Neutral,Rarely,Rarely,"Yes, highly effective",Very useful,"Yes, significantly"
Often,Yes,Confident,"Yes, but a long time ago",Neutral,Open and read carefully,Rarely,Never,Rarely,Rarely,"Yes, automatically",Very confident,"Yes, frequently",Very helpful,Never,Quizzes,Effective,"Yes, always",Neutral,Neutral,Never,Rarely,Effective,Very useful,"Yes, significantly"
Often,No,Very confident,"Yes, but a long time ago",Not confident,Report it to IT,Rarely,Rarely,"Yes, frequently",Never,Rarely,Very confident,Never,Neutral,Sometimes,Videos,Neutral,Sometimes,Somewhat relevant,"Yes, significantly",Never,Rarely,Neutral,Very useful,"Yes, significantly"
Always,Not sure what a password manager is,Confident,"Yes, recently",Not confident,Report it to IT,Sometimes,Most of the time,Rarely,Occasionally,"Yes, automatically",Very confident,Rarely,Very helpful,Sometimes,Quizzes,Neutral,Sometimes,Very relevant,No,Never,No,Not effective,Not useful,"Yes, somewhat"
Rarely,Yes,Not confident at all,"Yes, but a long time ago",Somewhat confident,Consult a colleague,Rarely,Rarely,"No, never",Never,Never,Very confident,Occasionally,Not very helpful,Most of the time,Simulations,Effective,Rarely,Very relevant,Somewhat,Sometimes,Sometimes,Effective,Very useful,"Yes, somewhat"
Often,No,Not confident,"No, never",Neutral,Report it to IT,Always,Sometimes,Occasionally,Never,Never,Not confident,"Yes, frequently",Not helpful at all,Most of the time,Live training sessions,Very effective,Sometimes,Not relevant,Neutral,Sometimes,Rarely,Neutral,Not useful,"Yes, significantly"
Sometimes,Yes,Very confident,"Yes, recently",Not confident,Consult a colleague,Rarely,Most of the time,Rarely,Occasionally,Never,Very confident,"Yes, frequently",Not very helpful,Never,Simulations,Effective,No,Somewhat relevant,No,Never,Rarely,"Yes, highly effective",Very useful,"Yes, somewhat"
Never,Yes,Very confident,"Yes, but a long time ago",Neutral,Open and read carefully,Always,Never,Rarely,Monthly,Never,Very confident,Rarely,Neutral,Always,Videos,Very effective,Rarely,Not relevant,No,Rarely,Sometimes,Effective,Useful,"Yes, significantly"
Sometimes,No,Very confident,"Yes, recently",Not confident,Consult a colleague,Rarely,Most of the time,"Yes, frequently",Rarely,Rarely,Confident,Never,Not very helpful,Rarely,Quizzes,Neutral,Rarely,Not relevant,Neutral,"Yes, frequently",Rarely,Effective,Useful,No
Often,No,Not confident,"No, never",Very confident,Delete it immediately,Never,Rarely,Occasionally,Occasionally,Never,Neutral,Occasionally,Neutral,Rarely,Simulations,Very effective,No,Very relevant,No,Rarely,Rarely,Neutral,Neutral,"Yes, significantly"
Never,No,Very confident,Not sure,Neutral,Open and read carefully,Rarely,Most of the time,Rarely,Rarely,"Yes, automatically",Not confident,Not sure,Not helpful at all,Most of the time,Live training sessions,Very effective,No,Not relevant,Somewhat,Sometimes,"Yes, always",Effective,Very useful,"Yes, somewhat"
Always,No,Very confident,"Yes, recently",Neutral,Delete it immediately,Rarely,"Yes, always","No, never",Every week,"Yes, automatically",Not confident,Rarely,Not very helpful,Sometimes,Live training sessions,Not effective,No,Not relevant,"Yes, significantly","Yes, frequently",Sometimes,"Yes, highly effective",Not useful,No
Rarely,Yes,Not confident at all,"Yes, recently",Very confident,Consult a colleague,Rarely,Sometimes,"Yes, frequently",Every week,"Yes, automatically",Very confident,Occasionally,Not very helpful,Sometimes,Videos,Very effective,"Yes, always",Not relevant,No,"Yes, frequently",Rarely,Neutral,Not useful,Neutral
Often,Not sure what a password manager is,Not confident,Not sure,Very confident,Consult a colleague,Sometimes,Rarely,Rarely,Never,"Yes, automatically",Very confident,Occasionally,Not helpful at all,Sometimes,Live training sessions,Not effective,No,Somewhat relevant,No,Never,Rarely,Not effective,Not useful,"Yes, somewhat"
Always,Yes,Neutral,"Yes, recently",Not confident,Consult a colleague,Never,Most of the time,Rarely,Monthly,Rarely,Neutral,Rarely,Not very helpful,Most of the time,Quizzes,Not effective,Rarely,Neutral,"Yes, significantly",Never,Rarely,Neutral,Not useful,"Yes, significantly"
Sometimes,Yes,Very confident,"Yes, but a long time ago",Very confident,Report it to IT,Often,Never,Rarely,Occasionally,Rarely,Confident,Occasionally,Not helpful at all,Never,Live training sessions,Very effective,"Yes, always",Very relevant,No,"Yes, frequently",Rarely,Effective,Useful,"Yes, significantly"
Sometimes,Not sure what a password manager is,Very confident,"Yes, but a long time ago",Somewhat confident,Report it to IT,Rarely,Most of the time,"No, never",Monthly,"Yes, manually",Not confident,Occasionally,Helpful,Always,Live training sessions,Not effective,Rarely,Somewhat relevant,Neutral,Rarely,No,Not effective,Not useful,"Yes, somewhat"
Often,Yes,Confident,"Yes, but a long time ago",Not confident,Report it to IT,Often,Most of the time,Rarely,Monthly,Sometimes,Very confident,Rarely,Neutral,Sometimes,Videos,Effective,"Yes, always",Somewhat relevant,Neutral,Rarely,Rarely,Neutral,Very useful,No
Rarely,Not sure what a password manager is,Confident,"No, never",Neutral,Report it to IT,Sometimes,Most of the time,Occasionally,Never,Never,Not confident,Rarely,Neutral,Sometimes,Quizzes,Effective,Sometimes,Neutral,No,Sometimes,No,Effective,Useful,"Yes, somewhat"
Rarely,Yes,Neutral,Not sure,Neutral,Report it to IT,Always,Sometimes,"No, never",Never,Rarely,Very confident,Not sure,Not helpful at all,Sometimes,Videos,Neutral,No,Neutral,Neutral,"Yes, frequently",No,Not effective,Useful,"Yes, somewhat"
Rarely,Not sure what a password manager is,Not confident,"Yes, recently",Not confident,Open and read carefully,Never,Most of the time,"Yes, frequently",Never,"Yes, manually",Confident,"Yes, frequently",Not helpful at all,Sometimes,Videos,Neutral,Rarely,Somewhat relevant,No,"Yes, frequently",No,Effective,Not useful,"Yes, somewhat"
Always,Yes,Confident,Not sure,Neutral,Report it to IT,Rarely,Never,"Yes, frequently",Occasionally,Rarely,Confident,Occasionally,Helpful,Always,Live training sessions,Very effective,Sometimes,Neutral,"Yes, significantly",Never,No,Effective,Useful,No
Never,Not sure what a password manager is,Neutral,"No, never",Very confident,Open and read carefully,Rarely,"Yes, always",Occasionally,Monthly,"Yes, manually",Confident,Occasionally,Not very helpful,Always,Simulations,Effective,No,Very relevant,Neutral,"Yes, frequently",No,Neutral,Useful,No
Rarely,Yes,Very confident,"Yes, recently",Not confident,Consult a colleague,Never,"Yes, always",Occasionally,Rarely,Rarely,Confident,"Yes, frequently",Helpful,Sometimes,Live training sessions,Not effective,Sometimes,Not relevant,"Yes, significantly",Sometimes,Rarely,Neutral,Useful,No
Often,No,Very confident,"No, never",Not confident,Delete it immediately,Never,Most of the time,"No, never",Occasionally,Sometimes,Confident,Rarely,Helpful,Sometimes,Videos,Neutral,"Yes, always",Somewhat relevant,Neutral,Rarely,"Yes, always",Effective,Very useful,No
Rarely,Not sure what a password manager is,Not confident,"No, never",Somewhat confident,Consult a colleague,Rarely,Never,"Yes, frequently",Monthly,"Yes, manually",Confident,Occasionally,Neutral,Most of the time,Live training sessions,Very effective,No,Very relevant,Neutral,"Yes, frequently",Sometimes,Not effective,Very useful,Neutral
Always,No,Confident,"No, never",Neutral,Consult a colleague,Rarely,Sometimes,"No, never",Never,"Yes, automatically",Not confident,Never,Neutral,Never,Simulations,Very effective,Sometimes,Somewhat relevant,Somewhat,Sometimes,Sometimes,"Yes, highly effective",Not useful,Neutral
Always,Not sure what a password manager is,Confident,"No, never",Not confident,Report it to IT,Rarely,"Yes, always",Rarely,Occasionally,Sometimes,Very confident,Rarely,Very helpful,Rarely,Quizzes,Not effective,No,Neutral,No,Never,Sometimes,Not effective,Neutral,"Yes, somewhat"
Never,Yes,Not confident,"Yes, recently",Not confident,Open and read carefully,Always,Sometimes,"Yes, frequently",Never,"Yes, manually",Neutral,Occasionally,Not helpful at all,Always,Simulations,Neutral,Rarely,Somewhat relevant,Neutral,"Yes, frequently",Rarely,Neutral,Not useful,No
Rarely,Not sure what a password manager is,Not confident,"Yes, recently",Neutral,Open and read carefully,Rarely,"Yes, always","Yes, frequently",Rarely,Sometimes,Very confident,"Yes, frequently",Helpful,Rarely,Videos,Very effective,Rarely,Neutral,Somewhat,"Yes, frequently",No,Not effective,Neutral,Neutral
Often,Yes,Neutral,"No, never",Neutral,Delete it immediately,Sometimes,"Yes, always",Rarely,Never,"Yes, manually",Confident,"Yes, frequently",Very helpful,Sometimes,Simulations,Not effective,"Yes, always",Not relevant,No,Never,No,Effective,Not useful,Neutral
Often,Yes,Not confident at all,"Yes, recently",Not confident,Delete it immediately,Rarely,Sometimes,Occasionally,Monthly,Sometimes,Very confident,"Yes, frequently",Neutral,Most of the time,Quizzes,Not effective,Sometimes,Neutral,"Yes, significantly","Yes, frequently",Rarely,Neutral,Neutral,Neutral
Sometimes,Yes,Confident,Not sure,Not confident,Report it to IT,Often,"Yes, always",Rarely,Every week,Sometimes,Confident,Rarely,Very helpful,Sometimes,Simulations,Effective,No,Neutral,No,Sometimes,Rarely,Neutral,Very useful,"Yes, significantly"
Often,Not sure what a password manager is,Not confident at all,"Yes, recently",Not confident,Open and read carefully,Sometimes,Most of the time,"No, never",Every week,"Yes, manually",Very confident,Never,Neutral,Always,Quizzes,Very effective,Rarely,Neutral,Somewhat,Sometimes,Rarely,Effective,Very useful,Neutral
Never,Yes,Not confident at all,"Yes, but a long time ago",Somewhat confident,Open and read carefully,Never,Most of the time,"Yes, frequently",Occasionally,Sometimes,Confident,"Yes, frequently",Very helpful,Never,Simulations,Neutral,"Yes, always",Very relevant,"Yes, significantly",Rarely,Sometimes,Neutral,Very useful,Neutral
Rarely,Not sure what a password manager is,Not confident at all,"Yes, recently",Not confident,Consult a colleague,Sometimes,Rarely,"Yes, frequently",Monthly,Sometimes,Confident,"Yes, frequently",Neutral,Rarely,Quizzes,Not effective,No,Neutral,Somewhat,Rarely,No,Neutral,Useful,Neutral
Rarely,No,Not confident,"Yes, but a long time ago",Somewhat confident,Consult a colleague,Rarely,Most of the time,Occasionally,Rarely,"Yes, manually",Neutral,"Yes, frequently",Helpful,Sometimes,Quizzes,Neutral,Rarely,Neutral,No,Sometimes,No,Effective,Not useful,"Yes, somewhat"
Rarely,Yes,Not confident at all,"Yes, recently",Neutral,Delete it immediately,Never,Rarely,Rarely,Never,"Yes, manually",Neutral,Not sure,Not helpful at all,Sometimes,Quizzes,Effective,"Yes, always",Very relevant,Neutral,"Yes, frequently",Sometimes,Effective,Neutral,"Yes, somewhat"
Always,Not sure what a password manager is,Very confident,"Yes, recently",Neutral,Open and read carefully,Often,Sometimes,Occasionally,Monthly,Sometimes,Neutral,Rarely,Very helpful,Most of the time,Simulations,Very effective,No,Neutral,No,"Yes, frequently",Rarely,Neutral,Very useful,"Yes, significantly"
Always,Yes,Confident,"Yes, recently",Somewhat confident,Consult a colleague,Always,"Yes, always","Yes, frequently",Rarely,"Yes, automatically",Very confident,Rarely,Very helpful,Most of the time,Quizzes,Not effective,"Yes, always",Not relevant,No,Rarely,No,Effective,Very useful,Neutral
Often,Yes,Confident,"No, never",Neutral,Consult a colleague,Rarely,Most of the time,Rarely,Monthly,"Yes, automatically",Very confident,"Yes, frequently",Not very helpful,Always,Quizzes,Effective,"Yes, always",Somewhat relevant,Neutral,Sometimes,No,"Yes, highly effective",Not useful,"Yes, somewhat"
Sometimes,No,Not confident,Not sure,Very confident,Consult a colleague,Sometimes,Most of the time,"Yes, frequently",Never,Rarely,Neutral,Rarely,Very helpful,Most of the time,Quizzes,Very effective,No,Somewhat relevant,Neutral,Rarely,"Yes, always","Yes, highly effective",Useful,Neutral
Often,Not sure what a password manager is,Confident,Not sure,Not confident,Open and read carefully,Never,Sometimes,"No, never",Never,Never,Very confident,Rarely,Not helpful at all,Sometimes,Live training sessions,Neutral,No,Neutral,Somewhat,Sometimes,Rarely,Neutral,Not useful,No
Rarely,Not sure what a password manager is,Very confident,"Yes, but a long time ago",Neutral,Report it to IT,Rarely,"Yes, always","No, never",Occasionally,Rarely,Neutral,"Yes, frequently",Very helpful,Always,Simulations,Neutral,No,Not relevant,Somewhat,Rarely,Rarely,Not effective,Not useful,"Yes, somewhat"
Often,Not sure what a password manager is,Confident,"Yes, recently",Neutral,Consult a colleague,Rarely,"Yes, always",Rarely,Rarely,"Yes, automatically",Very confident,Occasionally,Neutral,Sometimes,Simulations,Not effective,"Yes, always",Very relevant,Somewhat,Never,No,Effective,Useful,"Yes, significantly"
Often,Not sure what a password manager is,Very confident,"Yes, recently",Neutral,Consult a colleague,Sometimes,Sometimes,Occasionally,Monthly,"Yes, automatically",Very confident,Never,Very helpful,Rarely,Live training sessions,Very effective,Sometimes,Neutral,No,Sometimes,Rarely,Not effective,Neutral,No
Never,No,Neutral,"Yes, recently",Somewhat confident,Consult a colleague,Often,Most of the time,Occasionally,Monthly,Never,Neutral,Rarely,Not helpful at all,Most of the time,Quizzes,Very effective,Sometimes,Not relevant,Neutral,"Yes, frequently",Sometimes,Neutral,Very useful,Neutral
Often,Yes,Confident,"No, never",Not confident,Report it to IT,Sometimes,Rarely,Occasionally,Never,"Yes, automatically",Not confident,Rarely,Neutral,Sometimes,Quizzes,Very effective,"Yes, always",Neutral,"Yes, significantly","Yes, frequently",Rarely,Neutral,Useful,"Yes, significantly"
Often,No,Confident,"No, never",Very confident,Consult a colleague,Rarely,Most of the time,Rarely,Never,"Yes, automatically",Very confident,"Yes, frequently",Neutral,Most of the time,Simulations,Very effective,Sometimes,Neutral,No,"Yes, frequently",No,"Yes, highly effective",Useful,Neutral
Rarely,Yes,Confident,"No, never",Neutral,Open and read carefully,Rarely,Most of the time,Rarely,Every week,Sometimes,Neutral,Not sure,Very helpful,Always,Quizzes,Neutral,Sometimes,Somewhat relevant,Neutral,Rarely,Rarely,Effective,Very useful,"Yes, somewhat"
Sometimes,Yes,Not confident at all,"Yes, recently",Neutral,Report it to IT,Rarely,Rarely,"No, never",Occasionally,Rarely,Not confident,Never,Not helpful at all,Never,Videos,Neutral,Sometimes,Not relevant,Neutral,Rarely,Rarely,Neutral,Useful,"Yes, somewhat"
Sometimes,Not sure what a password manager is,Confident,"Yes, recently",Neutral,Report it to IT,Rarely,Sometimes,Rarely,Monthly,"Yes, automatically",Neutral,Occasionally,Neutral,Rarely,Videos,Very effective,No,Neutral,Somewhat,"Yes, frequently",Rarely,Effective,Neutral,"Yes, significantly"
Often,No,Neutral,"Yes, but a long time ago",Neutral,Consult a colleague,Rarely,Most of the time,Rarely,Monthly,"Yes, automatically",Not confident,Occasionally,Not very helpful,Rarely,Live training sessions,Effective,No,Not relevant,No,"Yes, frequently",Sometimes,Effective,Useful,"Yes, significantly"
Never,Yes,Very confident,"No, never",Not confident,Report it to IT,Sometimes,Rarely,Rarely,Monthly,Rarely,Very confident,Not sure,Not helpful at all,Sometimes,Videos,Not effective,Sometimes,Somewhat relevant,No,"Yes, frequently","Yes, always",Not effective,Neutral,"Yes, somewhat"
Often,No,Neutral,"No, never",Neutral,Open and read carefully,Rarely,Sometimes,"Yes, frequently",Never,Sometimes,Confident,"Yes, frequently",Very helpful,Sometimes,Simulations,Neutral,"Yes, always",Not relevant,Neutral,Never,Sometimes,"Yes, highly effective",Neutral,Neutral
Never,No,Confident,"Yes, but a long time ago",Very confident,Report it to IT,Sometimes,"Yes, always","Yes, frequently",Rarely,Sometimes,Confident,"Yes, frequently",Neutral,Most of the time,Live training sessions,Effective,"Yes, always",Very relevant,"Yes, significantly",Rarely,"Yes, always","Yes, highly effective",Useful,Neutral
Always,Yes,Neutral,"Yes, recently",Neutral,Delete it immediately,Rarely,Sometimes,"Yes, frequently",Never,Rarely,Neutral,Not sure,Neutral,Sometimes,Live training sessions,Effective,"Yes, always",Somewhat relevant,Neutral,Never,Sometimes,Effective,Not useful,Neutral
Rarely,Yes,Neutral,"No, never",Very confident,Report it to IT,Often,Most of the time,"Yes, frequently",Never,Sometimes,Not confident,Not sure,Very helpful,Most of the time,Live training sessions,Neutral,Rarely,Not relevant,No,Sometimes,Rarely,Effective,Useful,No
Often,No,Confident,Not sure,Somewhat confident,Report it to IT,Always,"Yes, always",Rarely,Every week,"Yes, automatically",Confident,Occasionally,Not very helpful,Sometimes,Simulations,Neutral,Sometimes,Neutral,No,Sometimes,Sometimes,Effective,Very useful,Neutral
Rarely,Yes,Confident,"Yes, recently",Neutral,Open and read carefully,Never,Most of the time,Rarely,Rarely,Sometimes,Not confident,Never,Neutral,Always,Videos,Very effective,No,Very relevant,Neutral,Rarely,No,"Yes, highly effective",Very useful,"Yes, significantly"
Always,Yes,Not confident,"Yes, but a long time ago",Not confident,Consult a colleague,Sometimes,"Yes, always",Rarely,Monthly,"Yes, manually",Not confident,Never,Not helpful at all,Rarely,Live training sessions,Effective,Sometimes,Neutral,No,Rarely,Sometimes,Not effective,Useful,Neutral
Sometimes,No,Very confident,"Yes, recently",Very confident,Consult a colleague,Often,Rarely,Rarely,Never,Sometimes,Confident,Rarely,Not very helpful,Sometimes,Live training sessions,Effective,"Yes, always",Very relevant,No,Never,"Yes, always","Yes, highly effective",Neutral,No
